Symbol,Volume,MktCap,PE,Return
WFC,16.591032474181496,26.226012734764534,13.56,27.77
COP,16.588099280204055,25.50690014940115,12.0,-17.78
KO,16.591344010368946,26.414658541067787,27.65,7.61
ET,16.58025610274303,24.838343965555417,13.52,12.19
PG,16.56923496255766,26.644761143216837,25.25,-5.56
BF-B,16.56655638952758,23.22895502591694,13.96,-41.18
FSM,16.553960631457567,21.44012954412367,12.79,34.89
FINV,16.54890356673828,21.57512470866118,6.7,93.11
UBER,16.548643539433947,25.88918259985843,14.67,18.77
KHC,17.025991242044093,24.14213940362151,11.78,-22.31
HLN,16.51579736844865,24.568892596734873,24.79,20.49
DVN,16.505939750309082,23.81512613759462,7.81,-28.02
DOW,16.502269023598863,23.69991722268761,69.4,-49.18
META,16.914250581592494,28.171017116994317,26.66,36.77
LYG,16.49844805825141,24.839371890950023,12.42,46.95
NCLH,16.49413194837567,22.854706673736626,10.72,8.39
CTVA,16.49124415758994,24.641072087130283,44.41,39.33
NLY,16.48952126684296,23.17211343691871,20.79,-5.16
BCS,16.488831278545387,24.855147002697237,8.75,65.38
CAG,16.482183054612506,23.051421206051987,31.6,-26.76
D,16.480305250395528,24.55706780777996,20.93,8.66
ADT,16.484889228418215,22.642832010662122,12.54,4.76
ORCL,16.851328555057552,27.079873372683952,47.17,46.67
FCX,16.453281346054066,24.77963158121073,32.97,-20.17
TSM,16.45256588490886,27.71444272406762,25.06,24.85
CX,16.45084668677768,23.00961991683004,12.79,6.6
WMB,16.449052706891422,25.025423707151095,32.52,40.32
CSX,17.06056082380194,24.821369989709662,19.08,-3.46
ANET,16.444228909784353,25.40838334144325,36.39,4.8
WEN,16.44068626789829,21.558780258793277,12.78,-28.21
STLA,16.44068626789829,24.025857614854445,4.46,-54.54
VICI,16.428737127545013,24.25256322123588,12.91,13.51
JD,16.593646366633173,24.560651499359572,7.67,10.86
WU,16.38099823204588,21.753956109129064,3.15,-31.61
CPNG,16.365658606813273,24.67135072551958,203.93,35.57
NOK,16.364643180051544,24.042855397895455,20.52,37.53
TXN,16.36276583281681,25.916550411907,37.61,2.21
BMY,16.365970838491712,25.280966985692455,17.49,10.96
LYFT,16.551435295832462,22.53351988881063,96.87,7.0
WMT,16.345151539092445,27.365854328058344,41.08,39.51
